customer_id,region,month,login_days
93,Europe,2020-01-01,21
346,Europe,2020-01-01,12
404,Asia,2020-01-01,22
347,North America,2020-01-01,15
403,Asia,2020-01-01,30
348,Asia,2020-01-01,13
356,Europe,2020-01-01,16
270,North America,2020-01-01,21
345,Asia,2020-01-01,30
350,Asia,2020-01-01,28
400,South America,2020-01-01,16
393,Asia,2020-01-01,26
357,Asia,2020-01-01,18
394,Europe,2020-01-01,13
402,Europe,2020-01-01,11
401,South America,2020-01-01,7
370,Asia,2020-01-01,24
349,Europe,2020-01-01,18
374,North America,2020-01-01,17
371,South America,2020-01-01,8
378,North America,2020-01-01,11
372,North America,2020-01-01,16
377,South America,2020-01-01,11
373,Europe,2020-01-01,18
344,North America,2020-01-01,16
406,Europe,2020-01-01,15
407,North America,2020-01-01,21
359,South America,2020-01-01,3
392,North America,2020-01-01,14
358,North America,2020-01-01,23
343,Europe,2020-01-01,18
408,Asia,2020-01-01,27
376,Europe,2020-01-01,10
367,North America,2020-01-01,18
379,South America,2020-01-01,14
395,South America,2020-01-01,11
397,Europe,2020-01-01,16
492,Europe,2020-01-01,19
264,Asia,2020-01-01,26
491,Europe,2020-01-01,22
265,Europe,2020-01-01,25
490,Asia,2020-01-01,28
493,Asia,2020-01-01,30
263,Europe,2020-01-01,15
266,Asia,2020-01-01,18
488,Asia,2020-01-01,20
268,North America,2020-01-01,13
487,North America,2020-01-01,14
269,North America,2020-01-01,19
486,North America,2020-01-01,19
259,Europe,2020-01-01,12
489,North America,2020-01-01,20
309,Asia,2020-01-01,18
355,North America,2020-01-01,17
261,South America,2020-01-01,10
353,Asia,2020-01-01,27
398,Asia,2020-01-01,14
352,South America,2020-01-01,5
399,North America,2020-01-01,23
494,South America,2020-01-01,5
396,Europe,2020-01-01,7
262,North America,2020-01-01,8
351,Europe,2020-01-01,13
308,North America,2020-01-01,16
496,Europe,2020-01-01,16
260,South America,2020-01-01,6
495,North America,2020-01-01,24
354,Asia,2020-01-01,14
444,Europe,2020-01-01,18
445,South America,2020-01-01,8
380,Europe,2020-01-01,20
381,Asia,2020-01-01,17
334,North America,2020-01-01,27
311,Asia,2020-01-01,20
441,North America,2020-01-01,15
312,Asia,2020-01-01,24
440,North America,2020-01-01,23
443,North America,2020-01-01,15
428,South America,2020-01-01,13
442,Europe,2020-01-01,16
313,South America,2020-01-01,8
315,Asia,2020-01-01,11
437,North America,2020-01-01,10
316,South America,2020-01-01,9
325,Asia,2020-01-01,26
439,Asia,2020-01-01,23
314,South America,2020-01-01,6
438,Asia,2020-01-01,23
318,Asia,2020-01-01,15
436,Europe,2020-01-01,21
435,North America,2020-01-01,16
416,North America,2020-01-01,16
336,North America,2020-01-01,20
415,North America,2020-01-01,17
337,North America,2020-01-01,19
427,Europe,2020-01-01,23
417,North America,2020-01-01,18
341,North America,2020-01-01,18
414,Europe,2020-01-01,17
412,North America,2020-01-01,13
340,South America,2020-01-01,10
411,Asia,2020-01-01,23
418,North America,2020-01-01,16
338,North America,2020-01-01,18
413,North America,2020-01-01,16
339,Europe,2020-01-01,16
434,North America,2020-01-01,17
