day,rat_sightings
1/1/10,9
1/2/10,12
1/3/10,3
1/4/10,24
1/5/10,14
1/6/10,21
1/7/10,15
1/8/10,13
1/9/10,10
1/10/10,7
1/11/10,25
1/12/10,16
1/13/10,24
1/14/10,15
1/15/10,19
1/16/10,13
1/17/10,9
1/18/10,15
1/19/10,35
1/20/10,12
1/21/10,32
1/22/10,20
1/23/10,9
1/24/10,12
1/25/10,22
1/26/10,40
1/27/10,22
1/28/10,20
1/29/10,17
1/30/10,15
1/31/10,8
2/1/10,20
2/2/10,18
2/3/10,15
2/4/10,13
2/5/10,27
2/6/10,9
2/7/10,11
2/8/10,18
2/9/10,22
2/10/10,13
2/11/10,15
2/12/10,15
2/13/10,8
2/14/10,9
2/15/10,10
2/16/10,17
2/17/10,18
2/18/10,19
2/19/10,16
2/20/10,9
2/21/10,10
2/22/10,24
2/23/10,13
2/24/10,25
2/25/10,23
2/26/10,11
2/27/10,7
2/28/10,10
3/1/10,26
3/2/10,17
3/3/10,21
3/4/10,25
3/5/10,28
3/6/10,10
3/7/10,13
3/8/10,31
3/9/10,20
3/10/10,29
3/11/10,37
3/12/10,18
3/13/10,13
3/14/10,14
3/15/10,36
3/16/10,23
3/17/10,36
3/18/10,31
3/19/10,38
3/20/10,26
3/21/10,19
3/22/10,40
3/23/10,48
3/24/10,49
3/25/10,34
3/26/10,33
3/27/10,15
3/28/10,17
3/29/10,25
3/30/10,31
3/31/10,28
4/1/10,34
4/2/10,26
4/3/10,14
4/4/10,18
4/5/10,44
4/6/10,32
4/7/10,36
4/8/10,39
4/9/10,31
4/10/10,15
4/11/10,19
4/12/10,48
4/13/10,41
4/14/10,45
4/15/10,28
4/16/10,23
4/17/10,22
4/18/10,12
4/19/10,47
4/20/10,36
4/21/10,54
4/22/10,29
4/23/10,36
4/24/10,18
4/25/10,11
4/26/10,36
4/27/10,35
4/28/10,30
4/29/10,27
4/30/10,26
5/1/10,15
5/2/10,18
5/3/10,50
5/4/10,39
5/5/10,49
5/6/10,40
5/7/10,27
5/8/10,19
5/9/10,16
5/10/10,38
5/11/10,47
5/12/10,31
5/13/10,34
5/14/10,27
5/15/10,24
5/16/10,22
5/17/10,63
5/18/10,46
5/19/10,50
5/20/10,44
5/21/10,34
5/22/10,30
5/23/10,27
5/24/10,52
5/25/10,66
5/26/10,40
5/27/10,42
5/28/10,35
5/29/10,18
5/30/10,10
5/31/10,13
6/1/10,50
6/2/10,32
6/3/10,33
6/4/10,37
6/5/10,26
