day,high_temp,low_temp,humidity,wind_speed,precip,rat_sightings
2018-01-01,19.0,8.0,67.0,22.0,0.0,15
2018-01-02,26.0,14.0,59.0,21.0,0.0,36
2018-01-03,30.0,18.0,53.0,16.0,0.0,36
2018-01-04,29.0,20.0,92.0,37.0,0.02,14
2018-01-05,19.0,11.0,56.0,31.0,6.54,18
2018-01-06,14.0,8.0,55.0,32.0,0.0,12
2018-01-07,18.0,6.0,64.0,21.0,0.0,18
2018-01-08,33.0,18.0,69.0,18.0,0.0,50
2018-01-09,43.0,31.0,73.0,21.0,1.29,26
2018-01-10,40.0,28.0,77.0,10.0,0.0,26
2018-01-11,47.0,35.0,96.0,8.0,0.0,45
2018-01-12,60.0,38.0,100.0,20.0,0.01,37
2018-01-13,52.0,20.0,100.0,28.0,0.79,23
2018-01-14,23.0,16.0,59.0,22.0,0.0,27
2018-01-15,29.0,17.0,75.0,18.0,0.0,24
2018-01-16,34.0,25.0,87.0,10.0,0.0,37
2018-01-17,36.0,23.0,96.0,17.0,0.05,25
2018-01-18,33.0,21.0,63.0,20.0,0.12,28
2018-01-19,39.0,26.0,58.0,15.0,0.0,28
2018-01-20,54.0,38.0,52.0,21.0,0.0,26
2018-01-21,52.0,43.0,66.0,9.0,0.0,27
2018-01-22,43.0,37.0,93.0,16.0,0.0,58
2018-01-23,59.0,36.0,100.0,20.0,0.03,38
2018-01-24,45.0,28.0,55.0,24.0,0.28,42
2018-01-25,35.0,24.0,58.0,21.0,0.0,31
2018-01-26,38.0,28.0,61.0,10.0,0.0,41
2018-01-27,56.0,36.0,79.0,17.0,0.0,33
2018-01-28,54.0,42.0,86.0,16.0,0.19,29
2018-01-29,43.0,35.0,86.0,21.0,0.08,43
2018-01-30,37.0,26.0,89.0,28.0,0.06,35
2018-01-31,33.0,19.0,59.0,21.0,0.0,37
2018-02-01,44.0,33.0,86.0,12.0,0.0,44
2018-02-02,39.0,18.0,89.0,32.0,0.23,41
2018-02-03,31.0,17.0,50.0,18.0,0.0,16
2018-02-04,47.0,31.0,97.0,15.0,0.0,21
2018-02-05,41.0,28.0,93.0,30.0,1.01,45
2018-02-06,38.0,28.0,59.0,10.0,0.0,40
2018-02-07,46.0,30.0,96.0,28.0,0.0,28
2018-02-08,34.0,27.0,63.0,22.0,0.85,35
2018-02-09,39.0,28.0,76.0,16.0,0.0,36
2018-02-10,51.0,39.0,97.0,10.0,0.0,13
2018-02-11,58.0,42.0,100.0,15.0,0.82,22
2018-02-12,62.0,34.0,97.0,22.0,0.99,50
2018-02-13,37.0,27.0,67.0,15.0,0.0,48
2018-02-14,53.0,36.0,77.0,15.0,0.01,36
2018-02-15,60.0,46.0,87.0,14.0,0.13,52
2018-02-16,59.0,37.0,94.0,26.0,0.16,42
2018-02-17,39.0,30.0,96.0,16.0,0.05,30
2018-02-18,45.0,33.0,96.0,20.0,0.62,14
2018-02-19,49.0,34.0,100.0,14.0,0.0,39
2018-02-20,69.0,48.0,100.0,18.0,0.03,67
2018-02-21,78.0,50.0,97.0,16.0,0.0,51
2018-02-22,57.0,37.0,86.0,15.0,0.02,30
2018-02-23,44.0,37.0,96.0,15.0,0.11,41
2018-02-24,53.0,43.0,93.0,15.0,0.07,28
2018-02-25,45.0,40.0,93.0,20.0,0.62,32
2018-02-26,52.0,44.0,89.0,15.0,0.22,47
2018-02-27,57.0,40.0,51.0,15.0,0.0,49
2018-02-28,61.0,43.0,57.0,15.0,0.0,61
2018-03-01,58.0,43.0,89.0,15.0,0.0,45
2018-03-02,44.0,36.0,92.0,37.0,1.47,29
2018-03-03,46.0,38.0,68.0,30.0,0.71,16
2018-03-04,44.0,35.0,62.0,26.0,0.0,26
2018-03-05,41.0,35.0,61.0,23.0,0.0,52
2018-03-06,46.0,35.0,70.0,16.0,0.0,60
2018-03-07,39.0,34.0,100.0,30.0,0.1,37
2018-03-08,41.0,34.0,82.0,16.0,0.8,38
2018-03-09,44.0,32.0,69.0,28.0,0.0,36
2018-03-10,41.0,33.0,59.0,20.0,0.0,30
2018-03-11,46.0,34.0,55.0,18.0,0.0,15
2018-03-12,42.0,33.0,86.0,20.0,0.0,47
2018-03-13,41.0,34.0,92.0,24.0,0.21,42
2018-03-14,42.0,33.0,82.0,24.0,0.05,39
2018-03-15,48.0,34.0,65.0,22.0,0.0,40
2018-03-16,39.0,33.0,61.0,30.0,0.0,42
2018-03-17,48.0,29.0,51.0,22.0,0.0,21
2018-03-18,44.0,30.0,52.0,20.0,0.0,22
2018-03-19,47.0,34.0,67.0,14.0,0.0,41
2018-03-20,39.0,31.0,68.0,20.0,0.0,50
2018-03-21,40.0,32.0,89.0,32.0,0.0,35
2018-03-22,51.0,33.0,92.0,20.0,0.64,27
2018-03-23,50.0,37.0,54.0,17.0,0.0,29
2018-03-24,50.0,37.0,52.0,20.0,0.0,20
2018-03-25,43.0,35.0,70.0,21.0,0.0,22
2018-03-26,49.0,34.0,62.0,18.0,0.0,35
